fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,hud_area_name,countyname,pop,state_alpha,metro
900516050,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,1470,CT,0
900517240,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,1365,CT,0
900532290,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,2915,CT,0
900537280,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,5525,CT,0
900540290,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,2855,CT,0
900543370,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,8250,CT,0
900549460,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,2365,CT,0
900551350,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,6795,CT,0
900552630,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,27380,CT,0
900553470,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,1440,CT,0
900554030,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,3330,CT,0
900560750,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,11890,CT,0
900565930,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,2230,CT,0
900566420,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,3660,CT,0
900567960,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,2735,CT,0
900575730,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,7670,CT,0
900576570,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,35080,CT,0
900579510,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,1465,CT,0
900579720,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,3490,CT,0
900580490,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,21975,CT,0
900586440,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,10895,CT,0
900587910,806,950,1222,1525,1657,9,NCNTY09005N09005,"Litchfield County, CT",Litchfield County,9685,CT,0
900714300,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,4285,CT,1
900715350,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,13040,CT,1
900718080,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,14020,CT,1
900719130,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,4545,CT,1
900720810,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,7290,CT,1
900722280,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,9070,CT,1
900722490,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,12890,CT,1
900726270,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,6590,CT,1
900735230,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,8305,CT,1
900740710,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,6440,CT,1
900747080,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,4400,CT,1
900747360,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,46745,CT,1
900757320,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,10160,CT,1
900761800,889,1091,1347,1675,1958,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,9390,CT,1
900781680,1004,1155,1522,2178,2635,9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,6925,CT,1
900901220,939,1177,1423,1770,2325,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",New Haven County,18955,CT,1
900903250,939,1177,1423,1770,2325,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",New Haven County,6110,CT,1
900904580,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,5525,CT,1
900907310,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,28150,CT,1
900914160,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,29275,CT,1
900919550,939,1177,1423,1770,2325,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",New Haven County,12700,CT,1
900922910,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,29005,CT,1
900934950,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,22375,CT,1
900935650,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,61495,CT,1
900944560,1055,1181,1438,1793,1993,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",New Haven County,18245,CT,1
